,name,save_logs,save_predictions,save_models,zip_models,verbatim,permutation,repetition,learning_rate,weight_decay,net,feature,skip,datetime,split_percentage_train,split_percentage_val,split_percentage_test,loss_function_type,loss_function_nclasses,early_stopping_min,early_stopping_wait,hidden_size,hidden_layers,num_heads,dropout,batchnorm,residual,in_feats,out_feats,Rand-Index_All ,Mutual Information_All ,Variation of Information_All ,Rand-Index_Train,Mutual Information_Train,Variation of Information_Train,Rand-Index_Val,Mutual Information_Val,Variation of Information_Val,Rand-Index_Test,Mutual Information_Test,Variation of Information_Test,radius
55,opti_keywords-552,True,True,True,True,False,10,5,0.01,0.01,GCN_Net,keywords,False,2020-01-19 23:08:59,0.04,0.01,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.4282318833248753,0.4339818838263294,1.8844188528915995,0.8350557317432387,0.8647646987910182,0.426500114868511,0.33515731874145005,0.4611513448153841,1.2582540280321093,0.4164788918038743,0.43069213983821014,1.8753143333781475,
56,opti_keywords-400,True,True,True,True,False,7,4,0.01,0.01,GAT_Net_fast,keywords,False,2020-01-19 21:41:37,0.16,0.04,0.6,nll,all,150,80,50,2,1.0,0.2,True,False,1433,7,0.65715546913177,0.6260282417449301,1.3680491697044532,0.972846935774221,0.96545061308113,0.12091210660294038,0.6359193314579079,0.6660154426145315,1.1235089399109208,0.5896924030126051,0.5695987550126341,1.5761142444940712,
57,opti_keywords-0,True,True,True,True,False,1,1,0.01,0.01,GCN_Net,keywords,False,2020-01-19 17:53:20,0.04,0.01,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.3187516275739912,0.3656989132392974,1.9766198672633697,0.5916241686446853,0.6318908599002142,1.0974864198901337,0.40035433319975533,0.4364032647383405,1.245893799574108,0.29573847445315504,0.3534978270998017,2.018027699431922,
58,opti_keywords-144,True,True,True,True,False,3,4,0.01,0.01,GCN_Net,keywords,False,2020-01-19 19:14:55,0.08,0.02,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.5461361910387634,0.5280163580678519,1.6554977938543909,0.87133523463832,0.8655553003846713,0.45212811208630743,0.623795123348829,0.6740555076202261,0.9065124890734859,0.5284943579171995,0.5041292400953428,1.7291868448782148,
59,opti_keywords-115,True,True,True,True,False,2,4,0.01,0.01,GAT_Net_fast,keywords,False,2020-01-19 18:59:42,0.32,0.08,0.6,nll,all,150,80,50,2,1.0,0.2,True,False,1433,7,0.7465734953904588,0.7100878192861475,1.0584640146412894,0.897082430971074,0.8799916740421775,0.4309803773335119,0.7099124595276453,0.6762641220902411,1.130755589179533,0.6740443567700459,0.6458504361908389,1.2927359104531781,
60,opti_keywords-417,True,True,True,True,False,7,5,0.01,0.01,GCN_Net,keywords,False,2020-01-19 21:49:46,0.32,0.08,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.6598211334021866,0.6565289081255623,1.2316483269766447,0.7353425155731498,0.730715617947632,0.9605879020864854,0.6594432748378379,0.664023994759162,1.1160618983580086,0.6210365647474656,0.6243068174277393,1.341494572116463,
61,opti_keywords-420,True,True,True,True,False,8,1,0.01,0.01,GCN_Net,keywords,False,2020-01-19 21:50:49,0.04,0.01,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.36486708453185035,0.3603458249571597,2.004921541466862,0.6497774586017403,0.7197548228967822,0.8129719986046897,0.10736579275905118,0.0814478821191006,2.0997340657000905,0.3602167832104358,0.35574195756960486,2.018701217771949,
62,opti_keywords-254,True,True,True,True,False,5,5,0.01,0.01,LGNN_Net,keywords,False,2020-01-19 20:17:53,0.04,0.01,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.37897943285061186,0.46297083093232055,1.8312757544994616,0.9789108319600144,0.9794934911186088,0.06494000394672739,0.3229539818131717,0.3758147458210615,1.352588074320286,0.36133374385683403,0.45076470176356814,1.8566761535180822,2.0
63,opti_keywords-80,True,True,True,True,False,2,2,0.01,0.01,LGNN_Net,keywords,False,2020-01-19 18:41:13,0.08,0.02,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.5143997962399519,0.5205809136238759,1.673954972228732,0.8312617132381298,0.8366699178718787,0.5612216360155906,0.5941821894273853,0.679745959272675,0.9307363335291616,0.4904950209114429,0.5055963983881364,1.7181204689260423,2.0
64,opti_keywords-500,True,True,True,True,False,9,2,0.01,0.01,LGNN_Net,keywords,False,2020-01-19 22:39:25,0.08,0.02,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.5502831010668261,0.5525143009931686,1.5940954763665305,0.9881134157350958,0.9881242089798868,0.041454800303108996,0.5967242484122803,0.6606406808179321,0.9597927818884013,0.5014234580665057,0.510951540178915,1.729739382265425,2.0
