,name,save_logs,save_predictions,save_models,zip_models,verbatim,permutation,repetition,learning_rate,weight_decay,net,feature,skip,datetime,split_percentage_train,split_percentage_val,split_percentage_test,loss_function_type,loss_function_nclasses,early_stopping_min,early_stopping_wait,hidden_size,hidden_layers,num_heads,dropout,batchnorm,residual,in_feats,out_feats,Rand-Index_All ,Mutual Information_All ,Variation of Information_All ,Rand-Index_Train,Mutual Information_Train,Variation of Information_Train,Rand-Index_Val,Mutual Information_Val,Variation of Information_Val,Rand-Index_Test,Mutual Information_Test,Variation of Information_Test,radius,sparsemax
504,hyper1-704,True,True,False,False,False,3,1,0.01,0.0,GAT_Net_fast,node_id,False,2020-01-14 05:50:09,0.32,0.08,0.6,nll,all,50,30,100,2,1.0,0.0,False,False,2708,7,0.6834135432037156,0.6432298404431086,1.3099877155221282,0.9242997011513832,0.9082287033212869,0.3319357806515888,0.6885113191084883,0.6755794611756039,1.1537167753183768,0.5697408620332175,0.5368184326380461,1.6948508022496112,,False
505,hyper1-970,True,True,False,False,False,4,1,0.01,0.0,GCN_Net,node_id,False,2020-01-14 07:51:17,0.32,0.08,0.6,nll,all,50,30,100,1,,0.2,False,,2708,7,0.6555886939663281,0.6519550306598305,1.2132224980913402,0.7903989424363553,0.7895978849574337,0.7279997338269864,0.6495903860637032,0.7019876260238439,0.9910525383230149,0.5900470356474554,0.5885524069773418,1.4291683278185334,,
506,hyper1-552,True,True,False,False,False,2,1,0.01,0.01,GAT_Net_fast,node_id,False,2020-01-14 04:48:33,0.32,0.08,0.6,nll,all,50,30,100,2,3.0,0.0,False,False,2708,7,0.6353212334198953,0.6156568080757525,1.3863792663371677,0.7701035523698672,0.7851005857064405,0.7594487663949159,0.6176467852102153,0.5983253666328975,1.3844938482964864,0.5675836072724078,0.5553594874187509,1.6063117414154569,,False
507,hyper1-1098,True,True,False,False,False,4,1,0.01,0.0,GAT_Net_fast,keywords,False,2020-01-14 08:38:53,0.32,0.08,0.6,nll,all,50,30,100,2,3.0,0.0,True,False,1433,7,0.7593386716032114,0.7206727836578916,1.0191524706177129,0.8993851989397568,0.8926369245172682,0.38507936287312905,0.7218264576761781,0.7339308320111297,0.9293655561128555,0.6930467831778673,0.6559876337486941,1.2544909636790997,,False
508,hyper1-57,True,True,False,False,False,1,1,0.01,0.0,GAT_Net_fast,node_id,False,2020-01-14 01:27:48,0.32,0.08,0.6,nll,all,50,30,50,3,3.0,0.0,False,True,2708,7,0.7042042661937868,0.6673407234327868,1.2167510462726594,0.9979431445890808,0.9963297881009505,0.013207813352091424,0.6973424321903462,0.6881404073807633,1.0520249624242681,0.5654634362722086,0.5481934437288141,1.6560500866015078,,False
509,hyper1-1058,True,True,False,False,False,4,1,0.01,0.0,GAT_Net_fast,keywords,False,2020-01-14 08:22:51,0.32,0.08,0.6,nll,all,50,30,50,2,1.0,0.0,True,False,1433,7,0.6715682191460327,0.6263921096106057,1.366445336599086,0.7414833275629098,0.6954443345659609,1.094228076919988,0.7020746116371092,0.7002062917894148,1.0511955107794928,0.632744334194353,0.5941391779255963,1.4834162614883608,,False
510,hyper1-22,True,True,False,False,False,1,1,0.01,0.0,GCN_Net,keywords,False,2020-01-14 01:16:29,0.32,0.08,0.6,nll,all,50,30,50,2,,0.2,False,,1433,7,0.1946656438161281,0.28313611726142546,2.287381791633929,0.19654873955455576,0.30471323088608915,2.1998276520776647,0.17749333914094093,0.2793179285675798,2.163050007466206,0.196565398723175,0.2755508556688273,2.3110270368281105,,
511,hyper1-955,True,True,False,False,False,3,1,0.01,0.01,GAT_Net_fast,keywords,False,2020-01-14 07:46:39,0.32,0.08,0.6,nll,all,50,30,100,3,3.0,0.0,True,True,1433,7,0.7620555616938731,0.7226304351505809,1.0118423290912322,0.990750104906221,0.9893076084950948,0.03867015045515254,0.793688276599728,0.779027503342467,0.7810923695056826,0.6523223972188904,0.616660121881419,1.3881814918782998,,False
512,hyper1-1248,True,True,False,False,False,4,1,0.01,0.01,GAT_Net_fast,keywords,False,2020-01-14 09:39:59,0.32,0.08,0.6,nll,all,50,30,100,2,1.0,0.0,False,False,1433,7,0.7349123360579053,0.6981251525246958,1.1074192551947308,0.8499345158150161,0.8112826140115692,0.6825953856593738,0.7033711767707397,0.7236382452609649,0.9691461889215707,0.6810716048507415,0.6513710360694148,1.276718530169238,,False
513,hyper1-1113,True,True,False,False,False,4,1,0.01,0.0,GAT_Net_fast,keywords,False,2020-01-14 08:47:06,0.32,0.08,0.6,nll,all,50,30,100,3,3.0,0.0,False,True,1433,7,0.7219787081119317,0.697581094783271,1.1049432946147641,0.805363126240912,0.790425451996056,0.7541877976666522,0.7682511019248579,0.784346971423046,0.7517207059850604,0.6724824624073806,0.6518534197578268,1.2704708318168967,,False
514,hyper1-752,True,True,False,False,False,3,1,0.01,0.0,GAT_Net_fast,keywords,False,2020-01-14 06:14:13,0.32,0.08,0.6,nll,all,50,30,50,3,1.0,0.0,False,False,1433,7,0.7239833369864097,0.6878396832781813,1.140086302864936,0.9236959905302065,0.9056012492059295,0.3413989837054059,0.7435213809220939,0.7482580700589347,0.8962824862568439,0.6276959603281956,0.5939515140682268,1.472780425907843,,False
515,hyper1-591,True,True,False,False,False,2,1,0.01,0.01,GAT_Net_fast,keywords,False,2020-01-14 05:07:27,0.32,0.08,0.6,nll,all,50,30,50,2,3.0,0.2,True,True,1433,7,0.7607648901437203,0.7265383138663627,1.0000191235946052,0.9625513176482784,0.9586068161825947,0.14915554281343635,0.6960198666243278,0.6577058348431676,1.1938194168910479,0.6697497135977009,0.6482864503840264,1.2852565383003522,,False
516,hyper1-568,True,True,False,False,False,2,1,0.01,0.01,GAT_Net_fast,node_id,False,2020-01-14 04:56:39,0.32,0.08,0.6,nll,all,50,30,100,3,3.0,0.0,False,False,2708,7,0.6155704360913741,0.5975991105026741,1.4794728480629038,0.7552044573642209,0.7457633126546707,0.9147097971309317,0.6029645024582284,0.5745673462982052,1.4894727746499066,0.5450341099119829,0.5422487817420619,1.6867979992649431,,False
517,hyper1-1142,True,True,False,False,False,4,1,0.01,0.01,GCN_Net,keywords,False,2020-01-14 08:54:38,0.32,0.08,0.6,nll,all,50,30,50,2,,0.2,False,,1433,7,0.19163435695596442,0.2736317416886159,2.054430125917127,0.2052551802204195,0.2820831558166367,2.032318080675308,0.16296289858352894,0.310203026167252,1.860085315171924,0.1878335429947279,0.26636309014891174,2.070641771644655,,
518,hyper1-1076,True,True,False,False,False,4,1,0.01,0.0,GAT_Net_fast,keywords,False,2020-01-14 08:28:50,0.32,0.08,0.6,nll,all,50,30,50,3,1.0,0.2,False,False,1433,7,0.7329855440762895,0.7031189815039932,1.087684620172455,0.846488783547391,0.8194181570506746,0.6523476476327659,0.7185274915645895,0.7268858459793025,0.9583069807157485,0.6766079954249686,0.6549485304502422,1.2614310943184446,,False
