,name,save_logs,save_predictions,save_models,zip_models,verbatim,permutation,repetition,learning_rate,weight_decay,net,feature,skip,datetime,split_percentage_train,split_percentage_val,split_percentage_test,loss_function_type,loss_function_nclasses,early_stopping_min,early_stopping_wait,hidden_size,hidden_layers,num_heads,dropout,batchnorm,residual,in_feats,out_feats,Rand-Index_All ,Mutual Information_All ,Variation of Information_All ,Rand-Index_Train,Mutual Information_Train,Variation of Information_Train,Rand-Index_Val,Mutual Information_Val,Variation of Information_Val,Rand-Index_Test,Mutual Information_Test,Variation of Information_Test
24,compare_loss-29,True,True,False,False,False,8,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 17:07:46,0.32,0.08,0.6,inv,6,100,80,50,2,1,0.2,True,True,1433,7,0.6983870887680618,0.6614220246263962,1.204381365119747,0.8909777599165304,0.8749814971095197,0.4422795488929805,0.6552021928251386,0.6611320043963239,1.1313948417760078,0.6127240740438962,0.5815003683165522,1.4841783722960313
25,compare_loss-26,True,True,False,False,False,7,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 17:10:30,0.32,0.08,0.6,inv,7,100,80,50,2,1,0.2,True,True,1433,7,0.7716975078495203,0.7305907194208382,0.9870028130895236,0.9945487021119788,0.9924402706576466,0.027313974477074954,0.7044496406056008,0.6743393222316586,1.1141429279815807,0.6740715816771088,0.641727459710978,1.3126099546523111
26,compare_loss-8,True,True,False,False,False,3,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 16:43:46,0.32,0.08,0.6,inv,5,100,80,50,2,1,0.2,True,True,1433,7,0.6083249261979264,0.5823669005020334,1.4449944411611875,0.7425937683169176,0.7413706484126403,0.8781704813683029,0.5473282581164305,0.5750332310742589,1.4239799000332698,0.5512304907780238,0.518942130560241,1.6601322782171095
27,compare_loss-12,True,True,False,False,False,4,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 16:43:06,0.32,0.08,0.6,inv,5,100,80,50,2,1,0.2,True,True,1433,7,0.47383793520940665,0.4474616401634564,1.9828239707032835,0.5127367457586157,0.5083714791972445,1.7412341016066353,0.46598909063162053,0.4611943289875032,1.813405004601631,0.45337932132107567,0.42546263409424256,2.060451183331339
28,compare_loss-30,True,True,False,False,False,8,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 17:10:58,0.32,0.08,0.6,inv,7,100,80,50,2,1,0.2,True,True,1433,7,0.7775294854526722,0.7446207677661886,0.9369557554393011,0.9945541904731725,0.9894284622087286,0.03850157834395418,0.7303140970557641,0.7266293086421437,0.9379693193992016,0.6789526913069421,0.6552458706988348,1.2627529314322863
29,compare_loss-3,True,True,False,False,False,1,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 16:31:27,0.32,0.08,0.6,nll,all,100,80,50,2,1,0.2,True,True,1433,7,0.7640815833027748,0.728521802446446,0.9949515905061705,0.9979418591768899,0.9963295320548698,0.013212860484834277,0.7227081170587573,0.6996658498488004,1.0176601770933802,0.6547107978674991,0.6348634822345409,1.3425421220022353
30,compare_loss-0,True,True,False,False,False,1,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 16:32:08,0.32,0.08,0.6,inv,5,100,80,50,2,1,0.2,True,True,1433,7,0.6100843496738239,0.5523516146813694,1.5599552430936983,0.7420334051653725,0.689893011564837,1.059545199019333,0.6678951957477492,0.6202087108563467,1.2029119245913198,0.5362390235540285,0.4904418964654951,1.7859542569556106
31,compare_loss-31,True,True,False,False,False,8,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 17:06:58,0.32,0.08,0.6,nll,all,100,80,50,2,1,0.2,True,True,1433,7,0.7751661606952783,0.7430802533490614,0.9421769427120621,0.9864479752174243,0.9812300382058748,0.06837922026501575,0.7287157849060726,0.7212551251594731,0.9528215015695753,0.679744572303001,0.6554701173959138,1.2614879167079511
32,compare_loss-1,True,True,False,False,False,1,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 16:35:58,0.32,0.08,0.6,inv,6,100,80,50,2,1,0.2,True,True,1433,7,0.7091827411327749,0.6806453561942262,1.1391308430229765,0.9221452313890841,0.9190733336790904,0.28256820808809024,0.6262302365263989,0.605292494647136,1.306910502697145,0.6164301288980173,0.603096207130517,1.4224375300098573
33,compare_loss-20,True,True,False,False,False,6,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 16:54:46,0.32,0.08,0.6,inv,5,100,80,50,2,1,0.2,True,True,1433,7,0.610759784913669,0.568097525725952,1.509958847104205,0.7321325634096576,0.6901709984503974,1.0554545752083042,0.575878796223571,0.5346188994321571,1.546324766802851,0.5549549135951583,0.5227850966874893,1.6750564664028573
34,compare_loss-39,True,True,False,False,False,10,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 17:17:18,0.32,0.08,0.6,nll,all,100,80,50,2,1,0.2,True,True,1433,7,0.7547718110025822,0.7177958778643254,1.0318633200095353,0.925399858585841,0.8972984067300807,0.37060377124752897,0.6548991693299429,0.6688959411704212,1.1644842679032914,0.6829388661967262,0.6524188818816989,1.2644612992816482
35,compare_loss-23,True,True,False,False,False,6,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 16:56:55,0.32,0.08,0.6,nll,all,100,80,50,2,1,0.2,True,True,1433,7,0.7725978250772931,0.7243117261960761,1.007677876803819,0.9293733182723806,0.9022830748252345,0.34905660645789727,0.6235773605248166,0.6124010778972949,1.3287843958511898,0.712160842496415,0.669653313229852,1.2129756213193508
36,compare_loss-28,True,True,False,False,False,8,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 17:04:17,0.32,0.08,0.6,inv,5,100,80,50,2,1,0.2,True,True,1433,7,0.5818575576568333,0.5425629660340778,1.631060066808504,0.700940455118008,0.6769526631809109,1.14518129142501,0.5333687417271599,0.5162005799551429,1.6375864689874007,0.5298081378890376,0.49798099094383547,1.780503512454723
37,compare_loss-5,True,True,False,False,False,2,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 16:36:53,0.32,0.08,0.6,inv,6,100,80,50,2,1,0.2,True,True,1433,7,0.6796800670565978,0.6350378971175362,1.2952752036531123,0.8148114389822978,0.7957650220751611,0.7132173626303078,0.6610812619309777,0.597409103093358,1.379332042043607,0.6143469573901688,0.5791948279872127,1.4908475628413105
38,compare_loss-2,True,True,False,False,False,1,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 16:37:46,0.32,0.08,0.6,inv,7,100,80,50,2,1,0.2,True,True,1433,7,0.7707868937044626,0.7372152417157479,0.9625928268309507,0.9901165442983932,0.9797252729043704,0.0730033057233559,0.7507401805314171,0.7176149513015718,0.959064817748938,0.6659549027863467,0.6516501500407652,1.279133574876564
39,compare_loss-36,True,True,False,False,False,10,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 17:14:25,0.32,0.08,0.6,inv,5,100,80,50,2,1,0.2,True,True,1433,7,0.5830280639649519,0.5258954020520654,1.7001747743058169,0.7224132418906699,0.6684465193266761,1.170781717186098,0.42150370630880857,0.43039823012175427,1.968170694137571,0.5335026196430557,0.48059895385334744,1.8515179731428968
