,name,save_logs,save_predictions,save_models,zip_models,verbatim,permutation,repetition,learning_rate,weight_decay,net,feature,skip,datetime,split_percentage_train,split_percentage_val,split_percentage_test,loss_function_type,loss_function_nclasses,early_stopping_min,early_stopping_wait,hidden_size,hidden_layers,num_heads,dropout,batchnorm,residual,in_feats,out_feats,Rand-Index_All ,Mutual Information_All ,Variation of Information_All ,Rand-Index_Train,Mutual Information_Train,Variation of Information_Train,Rand-Index_Val,Mutual Information_Val,Variation of Information_Val,Rand-Index_Test,Mutual Information_Test,Variation of Information_Test,radius
368,opti_keywords_gcn-79,True,True,True,True,False,4,5,0.005,0.01,GCN_Net,keywords,False,2020-01-23 14:26:47,0.32,0.08,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.7219533240588091,0.6899783992552376,1.1250207656428612,0.8352839621866859,0.812618844439429,0.670263184809726,0.7207048920220686,0.7393445734328521,0.9060163083434118,0.6646820992153928,0.6351629874668577,1.3206324641961,
370,opti_keywords-299,True,True,True,True,False,5,5,0.01,0.01,LGNN_Net,keywords,False,2020-01-19 20:42:51,0.32,0.08,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.6449009036509789,0.6454461790174819,1.2668200731267385,0.75210567065007,0.7598196691411778,0.8595795702043754,0.644336503109036,0.6308426391960904,1.2349285502688025,0.5911837685829818,0.5977895145071541,1.424985687397852,2.0
372,opti_keywords-383,True,True,True,True,False,7,3,0.01,0.01,LGNN_Net,keywords,False,2020-01-19 21:29:54,0.08,0.02,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.46083564017090434,0.5229238901571706,1.6511480520795954,0.8434883938886636,0.8603975361485208,0.4568143591497513,0.6259692736618941,0.6457670419603061,0.9524373050599744,0.4434065034627506,0.5107905225186082,1.6907722078325773,2.0
375,opti_keywords_gcn-120,True,True,True,True,False,7,1,0.005,0.01,GCN_Net,keywords,False,2020-01-23 14:42:34,0.04,0.01,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.4798126491166617,0.4629767860413973,1.8307535587248387,0.8318405715907189,0.7664321856983719,0.7089063718321098,0.37016617689126985,0.47043710134900285,1.2267046642621962,0.4620378425840589,0.45405111774752255,1.8602098014302353,
377,opti_keywords-110,True,True,True,True,False,2,2,0.01,0.01,LGNN_Net,keywords,False,2020-01-19 18:56:46,0.32,0.08,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.6514235421046716,0.6485356378296749,1.2540722175980088,0.7978359508643622,0.7970233253180627,0.7187962755001309,0.5168284965420948,0.5156951429773153,1.6279173556205517,0.596305740560578,0.6032586458341953,1.4099571365568107,2.0
378,opti_keywords-323,True,True,True,True,False,6,3,0.01,0.01,LGNN_Net,keywords,False,2020-01-19 20:57:02,0.08,0.02,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.5172424077077284,0.5184316755763326,1.7046666274646263,0.9396114251156256,0.942152433193174,0.19575989784205827,0.6466557609802772,0.6669675497565525,0.9478742932368491,0.48005473402906906,0.4922030018610816,1.799905738029378,2.0
379,opti_keywords-434,True,True,True,True,False,8,5,0.01,0.01,LGNN_Net,keywords,False,2020-01-19 22:01:33,0.04,0.01,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.4725208688730086,0.5029989013245663,1.7212629499261975,0.978271110168096,0.9801821720025397,0.06313740935894252,0.44285714285714284,0.49206781046793635,1.1380345609963398,0.4593821448846823,0.49123192340371347,1.7545856793405294,2.0
380,opti_keywords_gcn-113,True,True,True,True,False,6,4,0.005,0.01,GCN_Net,keywords,False,2020-01-23 14:41:02,0.16,0.04,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.6372229756164355,0.6324479771395118,1.320461518644474,0.9459103143948334,0.9344786642101077,0.22997377385766304,0.6285691384272338,0.5842869197062803,1.2768235873666973,0.5867887699564955,0.5928334016803746,1.467507965938788,
381,opti_keywords-469,True,True,True,True,False,8,2,0.01,0.01,GAT_Net_fast,keywords,False,2020-01-19 22:22:02,0.32,0.08,0.6,nll,all,150,80,50,2,1.0,0.2,True,False,1433,7,0.7572235032985147,0.7269806749048917,1.0016877616056576,0.9507407891162271,0.9390194272285841,0.22226893055004426,0.7441193923156901,0.7243291181624093,0.9441510113770666,0.6659900807392944,0.6458007284778272,1.297093343472091,
385,opti_keywords_gcn-172,True,True,True,True,False,9,3,0.005,0.01,GCN_Net,keywords,False,2020-01-23 14:59:36,0.16,0.04,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.5801236446659105,0.5481052420313457,1.5782667456128516,0.7151770867429468,0.6856671739391887,1.0854143251139705,0.6491823792719331,0.6226724304634262,1.1958402953719856,0.5496395902461501,0.5186469435932223,1.6708881541178222,
386,opti_keywords-235,True,True,True,True,False,4,4,0.01,0.01,GAT_Net_fast,keywords,False,2020-01-19 20:08:35,0.32,0.08,0.6,nll,all,150,80,50,2,1.0,0.2,True,False,1433,7,0.7542289766407496,0.7266081167982786,1.0013300337139364,0.8814421119816885,0.8517322746840505,0.5347601843878214,0.7238930043643047,0.7517918025637823,0.8694835066088489,0.6924731596284799,0.6733435545864197,1.1947391287649487,
387,opti_keywords-356,True,True,True,True,False,6,4,0.01,0.01,LGNN_Net,keywords,False,2020-01-19 21:17:08,0.32,0.08,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.6582330122948074,0.6393475198645028,1.2931626310471156,0.8098505811853643,0.7835976454591587,0.7614875767549432,0.6140266257881304,0.615411827381176,1.2982012074583387,0.5882785931130431,0.5834219932952168,1.4973959694667576,2.0
388,opti_keywords-536,True,True,True,True,False,9,4,0.01,0.01,LGNN_Net,keywords,False,2020-01-19 23:02:05,0.32,0.08,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.6289496249570454,0.6403148778140272,1.2764632714953645,0.7890586002519177,0.7935591929301481,0.7383929032074135,0.6070389692979874,0.6363881461574507,1.2067557197466932,0.5535668792996802,0.5764568551000673,1.4851808980004426,2.0
391,opti_keywords_gcn-167,True,True,True,True,False,9,3,0.005,0.01,GCN_Net,keywords,False,2020-01-23 14:57:12,0.08,0.02,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.4386707855397355,0.4342601613365592,1.8810938859127353,0.7143395860518584,0.7509629531203035,0.8094467846186246,0.4906267566274685,0.5279133995754761,1.3432164614597588,0.4185756602047964,0.40662999877836925,1.964475109541553,
